timestamp,event_type,object_class,object_id,description,duration,confidence
2025-10-11 11:15:55,appeared,car,6,car appeared,0,0.77005297
2025-10-11 11:15:56,appeared,car,7,car appeared,0,0.72880167
2025-10-11 11:15:56,disappeared,bus,5,Left frame,6.0851123332977295,0
2025-10-11 11:15:57,appeared,car,8,car appeared,0,0.69804096
2025-10-11 11:15:57,disappeared,bus,1,Left frame,17.85897135734558,0
2025-10-11 11:15:57,disappeared,bus,4,Left frame,9.313233137130737,0
2025-10-11 11:16:02,disappeared,car,6,Left frame,7.206308126449585,0
2025-10-11 11:16:02,disappeared,truck,3,Left frame,20.28625988960266,0
2025-10-11 11:16:06,appeared,truck,9,truck appeared,0,0.7231931
2025-10-11 11:16:06,line_crossed,truck,9,Entered (crossed line),0,0.7231931
2025-10-11 11:16:07,appeared,car,10,car appeared,0,0.596991
2025-10-11 11:16:09,appeared,car,11,car appeared,0,0.70319504
2025-10-11 11:16:09,disappeared,car,7,Left frame,13.780467987060547,0
2025-10-11 11:16:10,disappeared,car,8,Left frame,13.078326225280762,0
2025-10-11 11:16:10,disappeared,truck,9,Left frame,4.151878833770752,0
2025-10-11 11:16:16,appeared,car,12,car appeared,0,0.7642603
2025-10-11 11:16:16,disappeared,car,11,Left frame,6.793855667114258,0
2025-10-11 11:16:16,appeared,truck,13,truck appeared,0,0.5509029
2025-10-11 11:16:24,appeared,car,14,car appeared,0,0.65177107
2025-10-11 11:16:24,disappeared,car,10,Left frame,17.278778314590454,0
2025-10-11 11:16:25,appeared,car,15,car appeared,0,0.50462836
2025-10-11 11:16:26,disappeared,truck,13,Left frame,9.343819379806519,0
2025-10-11 11:16:28,appeared,truck,16,truck appeared,0,0.61565614
2025-10-11 11:16:29,disappeared,car,15,Left frame,3.2847537994384766,0
2025-10-11 11:16:31,stopped,car,12,Stopped for 5s,5.0712339878082275,0
2025-10-11 11:16:31,disappeared,truck,16,Left frame,3.297503709793091,0
2025-10-11 11:16:32,disappeared,car,14,Left frame,8.52278447151184,0
2025-10-11 11:16:35,appeared,car,17,car appeared,0,0.6866901
2025-10-11 11:16:41,appeared,car,18,car appeared,0,0.6729224
2025-10-11 11:16:41,disappeared,car,12,Left frame,25.70674467086792,0
2025-10-11 11:16:42,appeared,car,19,car appeared,0,0.51811534
2025-10-11 11:16:42,appeared,car,20,car appeared,0,0.6746758
2025-10-11 11:16:43,disappeared,car,17,Left frame,8.85236644744873,0
2025-10-11 11:16:44,appeared,bus,21,bus appeared,0,0.563553
2025-10-11 11:16:44,appeared,bus,22,bus appeared,0,0.5293511
2025-10-11 11:16:44,appeared,car,23,car appeared,0,0.5298125
2025-10-11 11:16:44,appeared,car,24,car appeared,0,0.5116272
2025-10-11 11:16:45,appeared,car,25,car appeared,0,0.7912535
2025-10-11 11:16:46,disappeared,bus,22,Left frame,2.03589129447937,0
2025-10-11 11:16:46,disappeared,car,23,Left frame,2.0146679878234863,0
2025-10-11 11:16:47,disappeared,car,18,Left frame,6.272741317749023,0
2025-10-11 11:16:48,stopped,car,20,Stopped for 5s,5.040229320526123,0
2025-10-11 11:16:50,line_crossed,bus,21,Entered (crossed line),0,0.563553
2025-10-11 11:16:50,disappeared,car,19,Left frame,8.505637407302856,0
2025-10-11 11:16:51,disappeared,car,25,Left frame,6.12563681602478,0
2025-10-11 11:16:51,line_crossed,car,20,Entered (crossed line),0,0.6746758
2025-10-11 11:16:52,appeared,car,26,car appeared,0,0.7508815
2025-10-11 11:16:52,appeared,car,27,car appeared,0,0.7380253
2025-10-11 11:16:52,disappeared,car,24,Left frame,8.123312711715698,0
2025-10-11 11:16:57,disappeared,car,20,Left frame,14.743649005889893,0
2025-10-11 11:16:57,disappeared,bus,21,Left frame,12.98200011253357,0
2025-10-11 11:16:57,appeared,truck,28,truck appeared,0,0.5313003
2025-10-11 11:16:57,appeared,bus,29,bus appeared,0,0.50326455
2025-10-11 11:16:58,line_crossed,car,26,Entered (crossed line),0,0.7508815
2025-10-11 11:16:59,disappeared,car,27,Left frame,7.217777729034424,0
2025-10-11 11:16:59,appeared,car,30,car appeared,0,0.60673934
2025-10-11 11:17:00,disappeared,bus,29,Left frame,2.961008071899414,0
2025-10-11 11:17:01,disappeared,truck,28,Left frame,4.288138389587402,0
2025-10-11 11:17:01,appeared,car,31,car appeared,0,0.55052793
2025-10-11 11:17:02,disappeared,car,26,Left frame,9.830353021621704,0
2025-10-11 11:17:02,appeared,bus,32,bus appeared,0,0.6452889
2025-10-11 11:17:02,appeared,bus,33,bus appeared,0,0.66171074
2025-10-11 11:17:03,appeared,bus,34,bus appeared,0,0.5141482
2025-10-11 11:17:03,appeared,bus,35,bus appeared,0,0.65409064
